               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082889,            0.026815,             0.03099,           0.0014514,                 0.1,           0.0037123,          0.00070113,            0.038445,             0.01774,            0.014898,              0.0928,              0.0008,              0.0008
                   1,            0.067335,            0.025417,             0.02929,          0.00057143,            0.083333,            0.020864,           0.0020864,            0.031069,            0.014857,            0.014703,            0.084139,            0.001139,            0.001139
                   2,             0.06264,            0.025155,            0.027973,           0.0010957,                0.25,             0.08409,            0.016969,            0.028052,             0.01353,            0.014141,            0.074884,            0.000884,            0.000884
