               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10021,            0.017544,             0.04261,           0.0097087,             0.66667,            0.022745,           0.0043527,            0.068815,           0.0094567,            0.037146,              0.0946,              0.0006,              0.0006
                   1,            0.097622,            0.019179,            0.041904,           0.0045662,             0.33333,            0.012681,           0.0044961,            0.051361,            0.010254,            0.028107,            0.088286,           0.0012857,           0.0012857
                   2,            0.080248,            0.020777,             0.03761,           0.0082645,             0.66667,            0.089924,            0.036516,            0.044229,            0.010941,            0.023444,            0.081956,            0.001956,            0.001956
                   3,            0.079456,             0.02062,             0.03562,            0.012048,                   1,              0.1769,             0.06139,            0.039723,            0.011128,            0.021228,            0.075611,           0.0026109,           0.0026109
                   4,            0.070441,            0.023606,             0.03499,            0.010169,                   1,            0.089742,            0.041112,            0.047914,            0.010484,            0.017758,             0.06925,           0.0032504,           0.0032504
                   5,             0.05451,            0.022019,            0.026242,            0.010417,                   1,            0.085207,            0.051721,            0.040295,            0.011078,            0.014984,            0.062874,           0.0038745,           0.0038745
                   6,            0.053842,            0.020705,            0.024798,            0.087383,             0.66667,            0.090021,            0.051739,            0.035101,            0.011545,            0.014691,            0.056483,           0.0044832,           0.0044832
                   7,            0.056542,            0.020895,            0.028413,             0.13464,             0.33333,             0.14659,             0.10359,            0.033297,            0.012333,            0.012622,            0.050077,           0.0050765,           0.0050765
                   8,            0.049487,            0.019256,            0.020781,              0.3073,             0.33333,             0.16056,             0.14105,            0.036531,            0.012295,            0.011255,            0.043654,           0.0056544,           0.0056544
                   9,             0.05259,            0.018801,            0.025275,            0.049702,             0.33333,            0.041832,            0.036229,            0.040769,            0.012168,             0.01362,            0.037217,           0.0062169,           0.0062169
                  10,            0.051263,            0.019385,            0.023481,            0.079378,             0.33333,            0.069407,            0.052506,            0.034303,            0.011011,            0.012048,            0.030764,            0.006764,            0.006764
                  11,            0.051511,            0.018267,            0.018703,             0.26504,             0.33333,             0.12724,            0.034848,            0.035154,            0.010161,            0.016016,            0.024296,           0.0072957,           0.0072957
                  12,             0.05536,            0.018338,            0.019125,             0.21032,             0.33333,             0.12675,            0.093841,            0.032359,            0.010184,            0.014655,            0.017812,            0.007812,            0.007812
                  13,            0.047379,            0.020097,             0.02022,             0.15689,             0.33333,            0.095609,            0.078313,            0.033163,           0.0095605,            0.013739,            0.011313,           0.0083129,           0.0083129
                  14,             0.05098,            0.017828,            0.019779,            0.060483,             0.33333,            0.095079,            0.035459,            0.039796,            0.009287,           0.0091309,             0.00846,             0.00846,             0.00846
                  15,              0.0468,            0.015882,            0.015676,           0.0067568,                   1,            0.030309,           0.0083257,            0.046903,            0.009937,            0.017941,             0.00846,             0.00846,             0.00846
                  16,             0.06086,            0.017975,            0.024211,           0.0068027,                   1,            0.014856,           0.0061389,            0.042515,            0.010405,            0.018484,             0.00835,             0.00835,             0.00835
                  17,            0.049464,            0.019087,            0.016674,           0.0041152,             0.66667,            0.010292,           0.0039401,            0.045849,            0.010569,            0.016843,             0.00824,             0.00824,             0.00824
                  18,            0.046438,            0.019207,            0.022228,           0.0039683,             0.66667,           0.0066777,           0.0024822,            0.047488,             0.01008,            0.017401,             0.00813,             0.00813,             0.00813
                  19,            0.050984,            0.020143,            0.018486,           0.0045045,             0.66667,           0.0055945,           0.0023489,            0.040174,            0.011379,            0.018121,             0.00802,             0.00802,             0.00802
                  20,            0.039837,            0.019816,            0.020582,           0.0066519,                   1,           0.0089551,           0.0033964,            0.040426,            0.011177,            0.018088,             0.00791,             0.00791,             0.00791
                  21,            0.040299,             0.01807,            0.019408,            0.079499,             0.33333,            0.070867,            0.021442,            0.045528,            0.011185,              0.0198,              0.0078,              0.0078,              0.0078
                  22,            0.039549,            0.016229,            0.013533,             0.12509,             0.33333,            0.081065,             0.03759,            0.043072,            0.010329,            0.018335,             0.00769,             0.00769,             0.00769
                  23,            0.037967,            0.016031,            0.014491,             0.17343,             0.33333,            0.087912,            0.061102,            0.037277,           0.0098798,            0.017303,             0.00758,             0.00758,             0.00758
                  24,            0.039384,            0.016742,             0.02161,             0.21161,             0.33333,             0.20077,             0.14312,            0.032994,           0.0095768,            0.014801,             0.00747,             0.00747,             0.00747
                  25,            0.041392,            0.019423,            0.029674,             0.43047,             0.33333,             0.45325,             0.39919,            0.029093,           0.0091497,            0.010556,             0.00736,             0.00736,             0.00736
                  26,            0.036982,            0.019144,            0.017204,             0.44953,             0.33333,             0.33044,             0.25661,            0.028686,           0.0099829,           0.0075684,             0.00725,             0.00725,             0.00725
                  27,            0.042128,            0.017479,            0.016345,             0.45327,             0.33333,             0.28654,             0.18379,            0.025575,           0.0098492,           0.0078964,             0.00714,             0.00714,             0.00714
                  28,            0.039713,            0.017896,            0.020806,              0.4366,             0.33333,             0.29033,             0.19816,            0.021828,           0.0096477,           0.0069733,             0.00703,             0.00703,             0.00703
                  29,            0.038196,            0.018567,            0.016878,             0.47841,             0.62348,             0.39438,             0.25808,             0.02639,           0.0085727,           0.0058716,             0.00692,             0.00692,             0.00692
                  30,             0.03208,            0.016981,            0.015059,               0.407,             0.33333,             0.30824,             0.22335,            0.024294,           0.0091199,           0.0058777,             0.00681,             0.00681,             0.00681
                  31,            0.042852,            0.018271,            0.017426,             0.44713,             0.33333,              0.3325,             0.22027,            0.020662,            0.009219,           0.0071686,              0.0067,              0.0067,              0.0067
                  32,            0.033227,            0.017542,             0.01719,             0.45894,             0.33333,             0.33574,             0.24212,            0.021663,           0.0095639,           0.0069122,             0.00659,             0.00659,             0.00659
                  33,            0.034715,            0.016888,            0.013362,             0.22228,             0.66667,             0.21415,             0.13605,            0.028781,           0.0093205,           0.0073151,             0.00648,             0.00648,             0.00648
                  34,            0.045945,            0.016987,            0.022386,             0.23105,             0.33333,             0.14178,             0.11475,            0.023353,             0.01001,            0.014758,             0.00637,             0.00637,             0.00637
                  35,            0.033502,            0.017695,             0.01054,              0.1406,             0.33333,              0.1124,            0.081467,            0.024065,           0.0097243,             0.01792,             0.00626,             0.00626,             0.00626
                  36,            0.044452,            0.019057,            0.017471,             0.16607,             0.33333,             0.17425,             0.12656,            0.022647,           0.0093004,            0.014215,             0.00615,             0.00615,             0.00615
                  37,            0.035923,            0.017444,            0.016359,             0.22949,             0.33333,             0.19537,             0.13446,            0.025295,           0.0091593,            0.015948,             0.00604,             0.00604,             0.00604
                  38,            0.036757,            0.015447,            0.014537,             0.31053,             0.66667,             0.24842,             0.18983,            0.024832,           0.0087661,            0.016553,             0.00593,             0.00593,             0.00593
                  39,            0.029072,            0.017541,            0.012956,             0.23109,             0.66667,             0.22616,             0.19694,            0.022233,           0.0088668,            0.014755,             0.00582,             0.00582,             0.00582
                  40,            0.041768,            0.016741,            0.030581,             0.25758,             0.66667,             0.33574,              0.2718,            0.023703,           0.0090449,            0.011029,             0.00571,             0.00571,             0.00571
                  41,            0.032683,            0.015933,            0.014767,             0.36179,             0.66667,             0.30725,             0.22246,            0.021989,           0.0097992,           0.0075195,              0.0056,              0.0056,              0.0056
                  42,             0.03079,             0.01567,            0.015076,             0.35572,             0.66667,              0.3056,             0.20556,            0.022603,            0.010174,           0.0073975,             0.00549,             0.00549,             0.00549
                  43,            0.033141,            0.014846,             0.01424,             0.32252,             0.66667,             0.28957,             0.18057,            0.023981,           0.0098653,           0.0044052,             0.00538,             0.00538,             0.00538
                  44,            0.030612,            0.016051,            0.012788,             0.21633,             0.66667,             0.24824,             0.12258,            0.029277,           0.0095454,           0.0066803,             0.00527,             0.00527,             0.00527
                  45,            0.031106,             0.01634,            0.015416,             0.19585,             0.33333,             0.21892,             0.15074,            0.027791,           0.0096751,           0.0067841,             0.00516,             0.00516,             0.00516
                  46,            0.038037,            0.015185,            0.016573,             0.64135,             0.61603,             0.47869,             0.35152,             0.02248,           0.0097895,           0.0036804,             0.00505,             0.00505,             0.00505
                  47,            0.038304,            0.017227,            0.015581,             0.49172,             0.65011,              0.4975,             0.21673,            0.027246,           0.0092851,           0.0029587,             0.00494,             0.00494,             0.00494
                  48,            0.031728,            0.016544,            0.014788,             0.41604,             0.33333,              0.3875,             0.24652,            0.023192,           0.0089337,           0.0028992,             0.00483,             0.00483,             0.00483
                  49,            0.031064,            0.016283,            0.015979,             0.31071,             0.90951,              0.4095,              0.2302,            0.023455,           0.0092488,           0.0038696,             0.00472,             0.00472,             0.00472
                  50,            0.028275,            0.015445,            0.017608,             0.34562,             0.66667,             0.52415,             0.38575,            0.020861,           0.0093286,           0.0050293,             0.00461,             0.00461,             0.00461
                  51,            0.024709,            0.015318,           0.0097572,             0.67371,             0.33333,             0.51414,             0.41259,            0.018957,           0.0085743,           0.0045624,              0.0045,              0.0045,              0.0045
                  52,            0.029693,            0.016357,            0.010923,             0.37192,             0.66667,              0.3985,              0.2792,            0.021157,           0.0084123,           0.0045868,             0.00439,             0.00439,             0.00439
                  53,            0.046721,             0.01702,            0.018674,             0.37456,             0.33333,             0.46044,             0.37225,            0.020157,           0.0081206,           0.0054611,             0.00428,             0.00428,             0.00428
