               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.035783,            0.011021,            0.012072,             0.11765,                   1,             0.39036,             0.11393,            0.032983,            0.013511,            0.051855,            0.007558,            0.007558,            0.007558
                  39,            0.036348,            0.010493,            0.010347,             0.98641,                   1,               0.995,             0.72321,            0.011476,           0.0051775,            0.037006,            0.007492,            0.007492,            0.007492
                  40,            0.030868,            0.011213,            0.013668,             0.97591,                   1,               0.995,             0.60075,             0.01545,           0.0059092,           0.0053123,            0.007426,            0.007426,            0.007426
                  41,            0.033582,            0.010917,            0.010688,              0.9762,                   1,               0.995,              0.8955,            0.012173,           0.0057197,           0.0055916,             0.00736,             0.00736,             0.00736
                  42,            0.030536,            0.010695,            0.010095,             0.97474,                   1,               0.995,             0.84635,           0.0095412,           0.0056953,            0.005999,            0.007294,            0.007294,            0.007294
                  43,            0.033714,            0.009849,            0.011118,             0.97555,                   1,               0.995,               0.796,            0.011788,           0.0055914,           0.0031712,            0.007228,            0.007228,            0.007228
                  44,            0.034776,            0.010295,            0.011226,             0.97757,                   1,               0.995,             0.74691,            0.013398,           0.0058558,           0.0022728,            0.007162,            0.007162,            0.007162
                  45,            0.033271,           0.0099449,           0.0077073,             0.97764,                   1,               0.995,             0.84684,            0.011491,           0.0054812,           0.0020222,            0.007096,            0.007096,            0.007096
                  46,            0.033167,           0.0098162,           0.0092712,             0.97955,                   1,               0.995,               0.796,            0.019267,           0.0059669,           0.0016125,             0.00703,             0.00703,             0.00703
                  47,            0.032008,           0.0098683,            0.010677,                   1,             0.97485,               0.995,              0.7011,            0.016168,           0.0056078,            0.024985,            0.006964,            0.006964,            0.006964
                  48,            0.033189,           0.0093842,            0.007503,                   1,             0.97137,               0.995,             0.75245,            0.015413,           0.0053394,            0.028326,            0.006898,            0.006898,            0.006898
                  49,            0.034644,           0.0089123,            0.012786,               0.979,                   1,               0.995,             0.82186,           0.0089189,           0.0053477,           0.0033697,            0.006832,            0.006832,            0.006832
                  50,            0.029846,            0.009049,            0.011287,             0.97887,                   1,               0.995,              0.7989,            0.012003,           0.0046437,           0.0099998,            0.006766,            0.006766,            0.006766
                  51,            0.030983,            0.010192,           0.0081813,             0.97353,                   1,               0.995,             0.92257,            0.010212,           0.0037971,            0.024838,              0.0067,              0.0067,              0.0067
                  52,            0.030559,           0.0092214,           0.0081836,             0.96918,                   1,               0.995,             0.58131,            0.016872,            0.004801,            0.020151,            0.006634,            0.006634,            0.006634
                  53,            0.026872,           0.0090067,            0.009492,             0.97845,                   1,               0.995,              0.8955,             0.01126,           0.0047553,           0.0035889,            0.006568,            0.006568,            0.006568
                  54,            0.029505,           0.0088734,           0.0091485,              0.9794,                   1,               0.995,             0.92238,            0.010266,            0.006485,           0.0061661,            0.006502,            0.006502,            0.006502
                  55,            0.028946,           0.0094847,           0.0084682,             0.98429,                   1,               0.995,              0.8955,           0.0093608,           0.0068226,            0.010199,            0.006436,            0.006436,            0.006436
                  56,            0.029264,            0.010147,           0.0092087,             0.99528,                   1,               0.995,             0.70329,            0.014441,           0.0047195,            0.032492,             0.00637,             0.00637,             0.00637
                  57,            0.027065,           0.0094014,            0.010634,             0.97913,                   1,               0.995,              0.8233,            0.012313,           0.0041788,           0.0023563,            0.006304,            0.006304,            0.006304
                  58,            0.025608,           0.0096162,           0.0086185,                   1,             0.97771,               0.995,              0.8006,            0.017094,            0.004499,            0.021799,            0.006238,            0.006238,            0.006238
                  59,            0.029181,           0.0085176,            0.010527,                   1,             0.98036,               0.995,             0.69883,            0.014514,           0.0042682,            0.021098,            0.006172,            0.006172,            0.006172
